main_genre,sub_genre,artist_name,track_name,album_name,spotify_track_id,popularity
Alternative Metal,Alternative Metal,Godsmack,When Legends Rise,When Legends Rise,4k7HTbpyFhYyaks0Kd2OoW,56
Alternative Metal,Alternative Metal,Godsmack,Whatever,Godsmack,6PHn6aXuM2FkzonGWJxY28,63
Alternative Metal,Alternative Metal,Godsmack,Under Your Scars,When Legends Rise,3VePARjg5ortw4ZfCKj0m3,54
Alternative Metal,Alternative Metal,Godsmack,Keep Away,Godsmack,1lrwHbZhCXUhb7zI0VcIPA,60
Alternative Metal,Alternative Metal,Godsmack,Love-Hate-Sex-Pain,The Oracle (Deluxe Edition),36QG29bbGuJkxNgzY6o9Mu,60
Alternative Metal,Alternative Metal,System Of A Down,Chop Suey!,Toxicity,2DlHlPMa4M17kufBvI2lEN,85
Alternative Metal,Alternative Metal,System Of A Down,Toxicity,Toxicity,0snQkGI5qnAmohLE7jTsTn,84
Alternative Metal,Alternative Metal,System Of A Down,Aerials,Toxicity,4e9eGQYsOiBcftrWXwsVco,83
Alternative Metal,Alternative Metal,System Of A Down,Lonely Day,Hypnotize,1VNWaY3uNfoeWqb5U8x2QX,82
Alternative Metal,Alternative Metal,System Of A Down,B.Y.O.B.,Mezmerize,0EYOdF5FCkgOJJla8DI2Md,79
Alternative Metal,Alternative Metal,System Of A Down,Sugar,System Of A Down,1Ym3JWJG8HFJU2NbXavZ6a,72
Alternative Metal,Alternative Metal,System Of A Down,I-E-A-I-A-I-O,Steal This Album!,3RgDvs9Jpvn3kUuaTek1R5,74
Alternative Metal,Alternative Metal,System Of A Down,Hypnotize,Hypnotize,6oO7WMjD6kEvCITLbVj0mu,74
Alternative Metal,Alternative Metal,System Of A Down,ATWA,Toxicity,6gCVA6ja6g0foIsWv0RuSZ,73
Alternative Metal,Alternative Metal,System Of A Down,Violent Pornography,Mezmerize,249Z7XT6mf8B2zuI0RaeS0,72
Alternative Metal,Alternative Metal,Deftones,My Own Summer (Shove It),Around the Fur,1158ckiB5S4cpsdYHDB9IF,82
Alternative Metal,Alternative Metal,Deftones,Change (In the House of Flies),White Pony,51c94ac31swyDQj9B3Lzs3,81
Alternative Metal,Alternative Metal,Deftones,Sextape,Diamond Eyes,1EryAkZ0VHstC6haIxVBiE,80
Alternative Metal,Alternative Metal,Deftones,Cherry Waves,Saturday Night Wrist,70L6nHORQsblY813yNqUR3,79
Alternative Metal,Alternative Metal,Deftones,Be Quiet and Drive (Far Away),Around the Fur,4Uiw0Sl9yskBaC6P4DcdVD,80
Alternative Metal,Alternative Metal,Deftones,Entombed,Koi No Yokan,4bLCPfBLKlqiONo6TALTh5,76
Alternative Metal,Alternative Metal,Deftones,Rosemary,Koi No Yokan,4FEr6dIdH6EqLKR0jB560J,75
Alternative Metal,Alternative Metal,Deftones,Mascara,Around the Fur,4cLdpErILMO8Db8pQVAVcZ,74
Alternative Metal,Alternative Metal,Deftones,my mind is a mountain,private music,0DMU0QiSypeYxL6BYdxjcy,71
Alternative Metal,Alternative Metal,Deftones,infinite source,private music,3txlvthoUa9vWvG1zr2Lnr,73
Alternative Metal,Alternative Metal,Evanescence,Bring Me To Life,Fallen,0COqiPhxzoWICwFCS4eZcp,87
Alternative Metal,Alternative Metal,Evanescence,Going Under,Fallen,3UygY7qW2cvG9Llkay6i1i,79
Alternative Metal,Alternative Metal,Evanescence,My Immortal,Fallen,4UzVcXufOhGUwF56HT7b8M,76
Alternative Metal,Alternative Metal,Evanescence,"Afterlife (from the Netflix Series ""Devil May Cry"")","Afterlife (from the Netflix Series ""Devil May Cry"")",3GAqddcV0nwMHQI5RfMXoI,73
Alternative Metal,Alternative Metal,Evanescence,Call Me When You're Sober,The Open Door,663Karu2rvKLdnY0eo1n3M,72
Alternative Metal,Alternative Metal,Evanescence,Everybody's Fool,Fallen,0tWEB6BxbI48XN79QE1JbT,71
Alternative Metal,Alternative Metal,Evanescence,Lithium,The Open Door,5YaLFRpqpUzgLLDcukNn0H,68
Alternative Metal,Alternative Metal,Evanescence,Tourniquet,Fallen,46fyLy4W9HhAkcb67kLaAV,66
Alternative Metal,Alternative Metal,Evanescence,Sweet Sacrifice,The Open Door,7hlXiMxN81uctLsvbtHZ8x,64
Alternative Metal,Alternative Metal,Evanescence,Haunted,Fallen,6Z77oDcn6iI1MHFCBPjl24,63
Alternative Metal,Alternative Metal,Kittie,Brackish,Spit,5znZ4aN1j49w2Oel8tdmgG,61
Alternative Metal,Alternative Metal,Kittie,Get Off (You Can Eat a Dick),Spit,7bkstl3jHuqyLThQoja3Ek,56
Alternative Metal,Alternative Metal,Kittie,Spit,Spit,6zd772F94reUnGHulNeEFm,54
Alternative Metal,Alternative Metal,Kittie,Charlotte,Spit,6KNhbezV7aXC06dCpNFFVo,53
Alternative Metal,Alternative Metal,Kittie,Do You Think I'm a Whore?,Spit,7tonKC2RWNxneYbNAXfm0e,48
Alternative Metal,Alternative Metal,Kittie,Spit XXV,Spit XXV,4XXmMpTVgc0tZYmGVnnRRL,45
Alternative Metal,Alternative Metal,Kittie,What I Always Wanted,Oracle,1MnJfqbZ4eVxswbtzFCh0O,46
Alternative Metal,Alternative Metal,Kittie,Brackish XXV,Spit XXV,0XvUNeGH7aokwNLWXVOTg7,44
Alternative Metal,Alternative Metal,Kittie,Do You Think I'm a Whore? XXV,Spit XXV,28Ao9W3TmgM7xzIxICkAgI,43
Alternative Metal,Alternative Metal,Kittie,Suck,Spit,4UeVTOxOBUwUF8mjXD9EKc,43
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),3ZOEytgrvLwQaqXreDs2Jx,86
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),1G391cbiT3v3Cywg8T7DM1,85
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,84
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),64BbK9SFKH2jk86U3dGj2P,84
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),3d9DChrdc6BOeFsbrZ3Is0,84
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,2aibwv5hGXSgw7Yru8IYTO,81
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Dani California,Stadium Arcadium,10Nmj3JCNoMeBQ87uw5j8k,79
Alternative Metal,Funk Metal,Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),1f2V8U1BiWaC9aJWmpOARe,79
Alternative Metal,Funk Metal,Red Hot Chili Peppers,Dark Necessities,The Getaway,2oaK4JLVnmRGIO9ytBE1bt,76
Alternative Metal,Funk Metal,Red Hot Chili Peppers,The Zephyr Song,By the Way (Deluxe Edition),1ndGB6rvxKYN9seCYO1dTF,76
Alternative Metal,Funk Metal,Fishbone,Ma and Pa,Truth And Soul,1VqglxYnDhZBZ6VijIZgJf,31
Alternative Metal,Funk Metal,Fishbone,Party at Ground Zero,Fishbone,3pisnwpxPtliumo1NFm9ri,22
Alternative Metal,Funk Metal,Fishbone,Bonin' In the Boneyard,Truth And Soul,2hORUQTIep1NeFWCtzMhN7,23
Alternative Metal,Funk Metal,Fishbone,Shakey Ground,Fishbone & The Familyhood Nextperience Presents The Psychotic Friends Nuttwerx,7426iYRovqN7S11kQdzVvd,33
Alternative Metal,Funk Metal,Fishbone,Racist Piece of Shit,Stockholm Syndrome,4icyCW0VvVxrE71wCWwInW,29
Alternative Metal,Funk Metal,Fishbone,Servitude,Give A Monkey A Brain And He'll Swear He's The Center Of The Universe,1N0nisxz5mF0gE7k8rqNOU,32
Alternative Metal,Funk Metal,Fishbone,Sunless Saturday,The Reality Of My Surroundings,3ebqgdxHMKO5pOwF51XxXG,23
Alternative Metal,Funk Metal,Fishbone,Good Times,Good Times,7GcBhU9KW2cdxWQ39VY0Ri,26
Alternative Metal,Funk Metal,Fishbone,Last Call in America,Stockholm Syndrome,4RGdEsE9pjbbq22DIqCQ9r,26
Alternative Metal,Funk Metal,Fishbone,Everyday Sunshine,The Reality Of My Surroundings,1QJQwHjaamdmdmoaN47NCD,24
Alternative Metal,Funk Metal,Living Colour,Cult of Personality (2023 Remaster),Vivid (2023 Remaster),4WG7Z3bNM3iE4vCYcXsxNx,67
Alternative Metal,Funk Metal,Living Colour,Cult of Personality - Rerecorded,Cult of Personality (UK Chart Top 100 - No. 67),3czFklcEnxO7EMJKtVSI2f,44
Alternative Metal,Funk Metal,Living Colour,Love Rears Its Ugly Head,Time's Up,5huSgTVqBdIJTFhpShJfcg,46
Alternative Metal,Funk Metal,Living Colour,Glamour Boys (2023 Remaster),Vivid (2023 Remaster),2y4AGJbydzcs4YSiYOkjdz,39
Alternative Metal,Funk Metal,Living Colour,Solace of You,Time's Up,5tGlfqO8VY3lLSldon51pR,33
Alternative Metal,Funk Metal,Living Colour,Type,Time's Up,7FqUgj7OEDEfAViG05wdMl,34
Alternative Metal,Funk Metal,Living Colour,Thousand Lifetimes (feat. Corey Glover of Living Colour),Soul Revolution Deluxe: The Collabs,6SiQrnyGJyNJIL8Blc9aOH,28
Alternative Metal,Funk Metal,Living Colour,"Me, Myself & My Microphone",Judgment Night,4SD1dYQDQkXQ0EByuJBpns,34
Alternative Metal,Funk Metal,Living Colour,Open Letter (To a Landlord) [2023 Remaster],Vivid (2023 Remaster),735bOuywETO7z0ed7NJ2cf,33
Alternative Metal,Funk Metal,Living Colour,Middle Man (2023 Remaster),Vivid (2023 Remaster),0AbcM6QWnCnrPo6YTtZal7,33
Alternative Metal,Funk Metal,Infectious Grooves,Violent & Funky,GROOVE FAMILY CYCO,7je6HRz7AoYt0HoW0gEUdP,43
Alternative Metal,Funk Metal,Infectious Grooves,Therapy (feat. Ozzy Osbourne),The Plague That Makes Your Booty Move... It's the Infectious Grooves,21X4NAH2ZHLYMIyC0qYBwu,34
Alternative Metal,Funk Metal,Infectious Grooves,Punk It Up,The Plague That Makes Your Booty Move... It's the Infectious Grooves,0FBQEEHnFHVsXU4rE6dGdZ,34
Alternative Metal,Funk Metal,Infectious Grooves,Please Excuse This Funk Up,Mas Borracho,2RPs5rAbwaMrjlguUC9jux,32
Alternative Metal,Funk Metal,Infectious Grooves,Immigrant Song,SARSIPPIUS' ARK (Limited Edition),551lofkQ1CqzfIomxZHNlK,32
Alternative Metal,Funk Metal,Infectious Grooves,Fame,SARSIPPIUS' ARK (Limited Edition),0R5Lm5tXNbaORjdzEalM2U,29
Alternative Metal,Funk Metal,Infectious Grooves,Lock It In The Pocket,Mas Borracho,2uSTcrVUckp3k6FuMaEfiq,28
Alternative Metal,Funk Metal,Infectious Grooves,Boom Boom Boom,GROOVE FAMILY CYCO,2M0ni90trM4gjB4zCAmDdm,27
Alternative Metal,Funk Metal,Infectious Grooves,Stop Funk'n with My Head,The Plague That Makes Your Booty Move... It's the Infectious Grooves,3BgddOHc9Wvm6sxZSF9VWX,26
Alternative Metal,Funk Metal,Infectious Grooves,I'm Gonna Be My King,The Plague That Makes Your Booty Move... It's the Infectious Grooves,2Kyg5aW2yOiRx6hgkFrlmK,25
Alternative Metal,Funk Metal,Primus,My Name Is Mud,Pork Soda,5c6gkexa2eWCCBmEb0zXCZ,61
Alternative Metal,Funk Metal,Primus,Jerry Was A Race Car Driver,Sailing The Seas Of Cheese,19C0LKY3DCcQtuviPJNy5d,58
Alternative Metal,Funk Metal,Primus,John The Fisherman,They Can't All Be Zingers,4kiVGEOrzWmEUCxXU21rtN,58
Alternative Metal,Funk Metal,Primus,Wynona's Big Brown Beaver,Tales From The Punchbowl,5WzdX4iArSQZELuxI0Oq5Q,56
Alternative Metal,Funk Metal,Primus,Too Many Puppies,They Can't All Be Zingers,30dxVfMjlhBY6fXo3ThhJM,54
Alternative Metal,Funk Metal,Primus,Tommy The Cat,Sailing The Seas Of Cheese,0kquzTsZG4m9qmLJaPSY9U,54
Alternative Metal,Funk Metal,Primus,Lacquer Head,Antipop,2R0PwfPJvH9Ezr2kpNPh0W,51
Alternative Metal,Funk Metal,Primus,Those Damned Blue-Collar Tweekers,Sailing The Seas Of Cheese,7sIjZxhdIOKB92n8oaZ4hK,50
Alternative Metal,Funk Metal,Primus,American Life,Sailing The Seas Of Cheese,09WwqFDqX2zv8rlvf4xYAk,50
Alternative Metal,Funk Metal,Primus,DMV,Pork Soda,17lHTPdaPkEHIArxEKJNHr,47
Alternative Metal,Funk Metal,Rage Against the Machine,Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),59WN2psjkt1tyaxjspN8fp,80
Alternative Metal,Funk Metal,Rage Against the Machine,Bulls On Parade,Evil Empire,0tZ3mElWcr74OOhKEiNz1x,74
Alternative Metal,Funk Metal,Rage Against the Machine,Guerrilla Radio,The Battle Of Los Angeles,1wsRitfRRtWyEapl0q22o8,71
Alternative Metal,Funk Metal,Rage Against the Machine,Bombtrack,Rage Against The Machine - XX (20th Anniversary Special Edition),2rBHnIxbhkMGLpqmsNX91M,67
Alternative Metal,Funk Metal,Rage Against the Machine,Know Your Enemy,Rage Against The Machine - XX (20th Anniversary Special Edition),1XTGyfJeMiZXrZ1W3NolcB,65
Alternative Metal,Funk Metal,Rage Against the Machine,Sleep Now In the Fire,The Battle Of Los Angeles,1MQTmpYOZ6fcMQc56Hdo7T,66
Alternative Metal,Funk Metal,Rage Against the Machine,Wake Up,Rage Against The Machine - XX (20th Anniversary Special Edition),2QiqwOVUctPRVggO9G1Zs5,65
Alternative Metal,Funk Metal,Rage Against the Machine,Renegades Of Funk,Renegades,5YBVDvTSSSiqv7KZDeUlXA,64
Alternative Metal,Funk Metal,Rage Against the Machine,Testify,The Battle Of Los Angeles,7lmeHLHBe4nmXzuXc0HDjk,63
Alternative Metal,Funk Metal,Rage Against the Machine,People of the Sun,Evil Empire,3QjQp2bfAvLTCSi8Zhzqis,61
Alternative Metal,Funk Metal,Mordred,Every Day's a Holiday,Fool's Game,2UqRoHkblOVkcKWiMOfQjk,16
Alternative Metal,Funk Metal,Mordred,Falling Away,In This Life,3miUuiYcZuYMMMYNZPuyy9,15
Alternative Metal,Funk Metal,Mordred,State of Mind,Fool's Game,6igh33CW2fNale9PgJA8bB,13
Alternative Metal,Funk Metal,Mordred,Spectacle of Fear,Fool's Game,6oBEQGThUltkN6FphaSY3d,11
Alternative Metal,Funk Metal,Mordred,In This Life,In This Life,4SORpnugolQKbeqqwSX3s2,11
Alternative Metal,Funk Metal,Mordred,The Strain,In This Life,7aYWxDTTB83RwblTZXO9M0,11
Alternative Metal,Funk Metal,Mordred,Esse Quam Videri,In This Life,1FBVxCZq0rVcRl3YXspFAM,10
Alternative Metal,Funk Metal,Mordred,Spellbound,Fool's Game,6qp43ccfxWMr0J6QjHbmir,9
Alternative Metal,Funk Metal,Mordred,Super Freak,Fool's Game,3KuOwyRECei0QUsf1dBinR,8
Alternative Metal,Funk Metal,Mordred,The Artist,Fool's Game,7ANddruRkppdiQm0L03DKE,7
Alternative Metal,Nu Metal,Korn,Freak On a Leash,Follow The Leader,6W21LNLz9Sw7sUSNWMSHRu,80
Alternative Metal,Nu Metal,Korn,Coming Undone,See You On the Other Side,3o7TMr6RmIusYH7Kkg7ujR,77
Alternative Metal,Nu Metal,Korn,Falling Away from Me,Issues,2F6FfZ4w8z3eJpSxPotVO5,76
Alternative Metal,Nu Metal,Korn,Blind,Korn,1pr9TZGOXeJUggIal1Wq3R,75
Alternative Metal,Nu Metal,Korn,Got the Life,Follow The Leader,6nJPHXRpKYv2yqtalEjKy5,74
Alternative Metal,Nu Metal,Korn,Y'all Want a Single,Take A Look In The Mirror,1AzMYJm6qTAullM3UKuPY9,70
Alternative Metal,Nu Metal,Korn,Twisted Transistor,See You On the Other Side,05NpeTQWnzXS1d8ZqL4YFZ,71
Alternative Metal,Nu Metal,Korn,Here To Stay,Untouchables,66LT15XEqCaWiMG44NGQRE,59
Alternative Metal,Nu Metal,Korn,Word Up!,Word Up! (The Remixes),1pHPpLVH2XEN0xYRoQs4wq,68
Alternative Metal,Nu Metal,Korn,Twist,Life Is Peachy,07xFWwKPOApMS56ildsV0G,67
Alternative Metal,Nu Metal,Limp Bizkit,Break Stuff,Significant Other,5cZqsjVs6MevCnAkasbEOX,84
Alternative Metal,Nu Metal,Limp Bizkit,Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,3IV4swNduIRunHREK80owz,83
Alternative Metal,Nu Metal,Limp Bizkit,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,2avKuMN2QXkaG9vvHa2JLt,80
Alternative Metal,Nu Metal,Limp Bizkit,My Way,Chocolate Starfish And The Hot Dog Flavored Water,2gSVKxPDww9Eep5rdvtdem,78
Alternative Metal,Nu Metal,Limp Bizkit,Behind Blue Eyes,Results May Vary,1MTQHCpraD4S8g5PAFKzoj,78
Alternative Metal,Nu Metal,Limp Bizkit,Nookie,Significant Other,1TEZWG1FdjzDdercCguTwj,76
Alternative Metal,Nu Metal,Limp Bizkit,My Generation,Chocolate Starfish And The Hot Dog Flavored Water,6holGuk1jKHTdWyWBOZi8l,75
Alternative Metal,Nu Metal,Limp Bizkit,Making Love to Morgan Wallen,Making Love to Morgan Wallen,7Ki2fTfTdDhqY2AY8muY5z,73
Alternative Metal,Nu Metal,Limp Bizkit,Hot Dog,Chocolate Starfish And The Hot Dog Flavored Water,6Zj3YsYfj8YTY9aGMDnpn8,73
Alternative Metal,Nu Metal,Limp Bizkit,Livin' It Up,Chocolate Starfish And The Hot Dog Flavored Water,0QepvU0N2fC2B5uIPafO1q,69
Alternative Metal,Nu Metal,Linkin Park,In the End,Hybrid Theory (Bonus Edition),60a0Rd6pjrkxjPbaKzXjfq,89
Alternative Metal,Nu Metal,Linkin Park,Numb,Meteora,2nLtzopw4rPReszdYBJU6h,87
Alternative Metal,Nu Metal,Linkin Park,Somewhere I Belong,Meteora (Bonus Edition),3fjmSxt0PskST13CSdBUFx,82
Alternative Metal,Nu Metal,Linkin Park,What I've Done,Minutes to Midnight,18lR4BzEs7e3qzc0KVkTpU,84
Alternative Metal,Nu Metal,Linkin Park,The Emptiness Machine,From Zero,1EDPVGbyPKJPeGqATwXZvN,80
Alternative Metal,Nu Metal,Linkin Park,Faint,Meteora,4Yf5bqU3NK4kNOypcrLYwU,83
Alternative Metal,Nu Metal,Linkin Park,One Step Closer,Hybrid Theory (Bonus Edition),3K4HG9evC7dg3N0R9cYqk4,83
Alternative Metal,Nu Metal,Linkin Park,Crawling,Hybrid Theory (Bonus Edition),57BrRMwf9LrcmuOsyGilwr,81
Alternative Metal,Nu Metal,Linkin Park,Heavy Is the Crown,From Zero,2HBBM75Xv3o2Mqdyh1NcM0,77
Alternative Metal,Nu Metal,Linkin Park,Bleed It Out,Minutes to Midnight,0UFDKFqW2oGspYeYqo9wjA,80
Alternative Metal,Nu Metal,Slipknot,Duality,Vol. 3: The Subliminal Verses (Special Edition),61mWefnWQOLf90gepjOCb3,82
Alternative Metal,Nu Metal,Slipknot,Psychosocial,All Hope Is Gone (10th Anniversary),3RAFcUBrCNaboRXoP3S5t1,78
Alternative Metal,Nu Metal,Slipknot,Before I Forget,Vol. 3: The Subliminal Verses (Special Edition),6wqJeItl3Vc3az4ZicSQAB,78
Alternative Metal,Nu Metal,Slipknot,Wait and Bleed,Slipknot,15DLl1r2zi07Ssq5RT1yT0,76
Alternative Metal,Nu Metal,Slipknot,Custer,.5: The Gray Chapter (Special Edition),3GiJq4AQK7324mfIQbpiTf,74
Alternative Metal,Nu Metal,Slipknot,The Devil in I,.5: The Gray Chapter (Special Edition),5hheGdf1cb4rK0FNiedCfK,74
Alternative Metal,Nu Metal,Slipknot,Eyeless,Slipknot,2yYX7KbfWZrezWVW1vN3iz,71
Alternative Metal,Nu Metal,Slipknot,Snuff,All Hope Is Gone (10th Anniversary),2vPZ4Lklyu75zBR3SgbFNI,70
Alternative Metal,Nu Metal,Slipknot,Unsainted,We Are Not Your Kind,5mpUKTdskZea0gStWzeHUZ,73
Alternative Metal,Nu Metal,Slipknot,Spit It Out,Slipknot,2yTnWN1R5j6grXC8YLf5mc,70
Alternative Metal,Nu Metal,Papa Roach,Last Resort,Infest,5W8YXBz9MTIDyrpYaCg2Ky,82
Alternative Metal,Nu Metal,Papa Roach,Scars,Getting Away With Murder,1UREw2MCfU0xwBzCAjxlUD,71
Alternative Metal,Nu Metal,Papa Roach,Between Angels And Insects,Infest,24z528iI9kZu5LbkLainjI,69
Alternative Metal,Nu Metal,Papa Roach,Even If It Kills Me,Even If It Kills Me,06dBzUBULISVMFBeNKbbRA,67
Alternative Metal,Nu Metal,Papa Roach,Getting Away With Murder,Getting Away With Murder,1x0AirtLjfVquI0A9iBVep,63
Alternative Metal,Nu Metal,Papa Roach,Help,Crooked Teeth (Deluxe),1ezejto4dwwkESru7ILfLs,64
Alternative Metal,Nu Metal,Papa Roach,Forever,The Paramour Sessions,4oJ4XZwQA2cLMBnRtYSSIb,55
Alternative Metal,Nu Metal,Papa Roach,Kill The Noise,Ego Trip,2DyDyOW1hRYFFaMhBCAHJ9,64
Alternative Metal,Nu Metal,Papa Roach,Leave a Light On (Talk Away The Dark),Ego Trip,0b6fNjbiW4uF0W01GAfRVg,65
Alternative Metal,Nu Metal,Papa Roach,Falling Apart,F.E.A.R. (Deluxe Edition),2i32TJpVNQwoOZqUataaKI,64
Alternative Metal,Nu Metal,Disturbed,The Sound of Silence - CYRIL Remix,The Sound of Silence (CYRIL Remix),1LY3GhF0zxIVgbYEQjCbUO,81
Alternative Metal,Nu Metal,Disturbed,Down with the Sickness,The Sickness,40rvBMQizxkIqnjPdEWY1v,78
Alternative Metal,Nu Metal,Disturbed,The Sound of Silence,Immortalized,1Cj2vqUwlJVG27gJrun92y,77
Alternative Metal,Nu Metal,Disturbed,Stricken,Ten Thousand Fists,6RJdYpFQwLyNfDc5FbjkgV,75
Alternative Metal,Nu Metal,Disturbed,Indestructible,Indestructible (Deluxe Edition),42ZVk59gT4tMlrZmd8Ijxf,69
Alternative Metal,Nu Metal,Disturbed,Decadence,Ten Thousand Fists,0jY829pCMnstlNtaE72vSB,68
Alternative Metal,Nu Metal,Disturbed,Inside the Fire,Indestructible (Deluxe Edition),5cxp9kjCFyJwzv3lzeX7ku,67
Alternative Metal,Nu Metal,Disturbed,The Vengeful One,Immortalized (Deluxe Edition),3jjU4Pky1ja5J1onU6ei4T,66
Alternative Metal,Nu Metal,Disturbed,Ten Thousand Fists,Ten Thousand Fists,5hkgrWxkobGtg30I7DsfVu,65
Alternative Metal,Nu Metal,Disturbed,Land of Confusion,Ten Thousand Fists,4ClGNWLK9vZMBtO0CpnyOE,63
Alternative Metal,Nu Metal,Mudvayne,Happy?,Lost and Found,0INUE1K7cEiE8VH63Rv5RJ,68
Alternative Metal,Nu Metal,Mudvayne,Dig,L.D. 50,7vrLphPq4yjaX7jiDdd2Nc,64
Alternative Metal,Nu Metal,Mudvayne,Not Falling,The End Of All Things To Come,15TzkwxGNvM3RGib0YkH4T,57
Alternative Metal,Nu Metal,Mudvayne,Forget to Remember - From Saw II - Original Soundtrack,Lost and Found,0h5D9uxuZRAfq6qMMX34vN,58
